STAR System ID,Original STAR System ID,Object Number Catalog,Image,blob_uri,,https://s3-us-west-2.amazonaws.com/cs-945341d9c5ea9222mc-files/
SH100161011,SH100161011,A 5185/000002,H38944.jpg,https://s3-us-west-2.amazonaws.com/cs-945341d9c5ea9222mc-files/H38944.jpg,,
SH100161012,SH100161012,A 5185/000003,H38945.jpg,https://s3-us-west-2.amazonaws.com/cs-945341d9c5ea9222mc-files/H38945.jpg,,
SH100161017,SH100161017,A 5815/000004,H38952.jpg,https://s3-us-west-2.amazonaws.com/cs-945341d9c5ea9222mc-files/H38952.jpg,,
SAR00800776,SAR00800776,A 1/000022.002,A0001.000022.002.jpg,https://s3-us-west-2.amazonaws.com/cs-945341d9c5ea9222mc-files/A0001.000022.002.jpg,,
SAR00335307,SAR00335307,A 1/000001.001,A0001_000001_001.jpg,https://s3-us-west-2.amazonaws.com/cs-945341d9c5ea9222mc-files/A0001_000001_001.jpg,,
SAR00335308,SAR00335308,A 1/000019.001,A0001_000019_001.jpg,https://s3-us-west-2.amazonaws.com/cs-945341d9c5ea9222mc-files/A0001_000019_001.jpg,,
SAR00335309,SAR00335309,A 1/000019.002,A0001_000019_002.jpg,https://s3-us-west-2.amazonaws.com/cs-945341d9c5ea9222mc-files/A0001_000019_002.jpg,,
SAR00335310,SAR00335310,A 1/000022.001,A0001_000022_001.jpg,https://s3-us-west-2.amazonaws.com/cs-945341d9c5ea9222mc-files/A0001_000022_001.jpg,,
SAR00335311,SAR00335311,A 1/000038,A0001_000038.jpg,https://s3-us-west-2.amazonaws.com/cs-945341d9c5ea9222mc-files/A0001_000038.jpg,,
SAR00335312,SAR00335312,A 1/000197.002,A0001_000197_002.jpg,https://s3-us-west-2.amazonaws.com/cs-945341d9c5ea9222mc-files/A0001_000197_002.jpg,,
SAR00335314,SAR00335314,A 1/000226,A0001_000226.jpg,https://s3-us-west-2.amazonaws.com/cs-945341d9c5ea9222mc-files/A0001_000226.jpg,,
SAR00335315,SAR00335315,A 3/000032.001,A0003_000032_001.jpg,https://s3-us-west-2.amazonaws.com/cs-945341d9c5ea9222mc-files/A0003_000032_001.jpg,,
SAR00335316,SAR00335316,A 3/000032.002,A0003_000032_002.jpg,https://s3-us-west-2.amazonaws.com/cs-945341d9c5ea9222mc-files/A0003_000032_002.jpg,,
SAR00335317,SAR00335317,A 3/000032.003,A0003_000032_003.jpg,https://s3-us-west-2.amazonaws.com/cs-945341d9c5ea9222mc-files/A0003_000032_003.jpg,,
SAR00335318,SAR00335318,A 3/000035.001,A0003_000035_001.jpg,https://s3-us-west-2.amazonaws.com/cs-945341d9c5ea9222mc-files/A0003_000035_001.jpg,,
SAR00335319,SAR00335319,A 3/000035.002,A0003_000035_002.jpg,https://s3-us-west-2.amazonaws.com/cs-945341d9c5ea9222mc-files/A0003_000035_002.jpg,,
SAR00335320,SAR00335320,A 3/000035.003,A0003_000035_003.jpg,https://s3-us-west-2.amazonaws.com/cs-945341d9c5ea9222mc-files/A0003_000035_003.jpg,,
SAR00335321,SAR00335321,A 3/000036,A0003_000036.jpg,https://s3-us-west-2.amazonaws.com/cs-945341d9c5ea9222mc-files/A0003_000036.jpg,,
SAR00335322,SAR00335322,A 3/000037.003,A0003_000037_003.jpg,https://s3-us-west-2.amazonaws.com/cs-945341d9c5ea9222mc-files/A0003_000037_003.jpg,,
SAR00335324,SAR00335324,A 7/000057,A0007 000057_Front.jpg,https://s3-us-west-2.amazonaws.com/cs-945341d9c5ea9222mc-files/A0007 000057_Front.jpg,,
SAR00335323,SAR00335323,A 7/000031.001,A0007_000031_001.jpg,https://s3-us-west-2.amazonaws.com/cs-945341d9c5ea9222mc-files/A0007_000031_001.jpg,,
